,pc1_share
2024-02-16,0.9226830898640095
2024-02-20,0.9226830794285041
2024-02-21,0.9226828218374387
2024-02-22,0.9226821753239994
2024-02-23,0.9226820082007615
2024-02-26,0.9226813591664097
2024-02-27,0.9226807157303653
2024-02-28,0.9226798545134649
2024-02-29,0.9226789149720768
2024-03-01,0.922678623106092
2024-03-04,0.922677614821126
2024-03-05,0.9226770379517488
2024-03-06,0.9226768181700598
2024-03-07,0.9226740572515553
2024-03-08,0.9226723979165566
2024-03-11,0.9226719619852481
2024-03-12,0.9226713701555441
2024-03-13,0.9226704158960949
2024-03-14,0.9226678409583147
2024-03-15,0.9226676287582711
2024-03-18,0.9226674763047729
2024-03-19,0.9226669246520741
2024-03-20,0.9226658876135045
2024-03-21,0.9226650541593823
2024-03-22,0.9226646506087799
2024-03-25,0.9226641246383387
2024-03-26,0.9226635478522233
2024-03-27,0.9226631334412196
2024-03-28,0.9226626835990669
2024-04-01,0.9226635430836082
2024-04-02,0.9226631453064696
2024-04-03,0.9226629128229916
2024-04-04,0.9226628343252748
2024-04-05,0.9226629185364751
2024-04-08,0.9226628832905835
2024-04-09,0.9226618025603884
2024-04-10,0.9226617071739632
2024-04-11,0.9226621035332134
2024-04-12,0.9226611852276871
2024-04-15,0.9226622817595986
2024-04-16,0.9226615166817406
2024-04-17,0.922657846260316
2024-04-18,0.9226569926300844
2024-04-19,0.9226561806935004
2024-04-22,0.9226539729992731
2024-04-23,0.9226528303495976
2024-04-24,0.9226519242355594
2024-04-25,0.9226512576692365
2024-04-26,0.9226498337722847
2024-04-29,0.9226495473333076
2024-04-30,0.9226489226462202
